query,expected_agent,router_agent,actual_agent,latency,relevance_score,botanical_name,botanical_match,num_results,warnings
What are the medicinal uses of holy basil?,research,research,ResearchAgent,1.039649099984672,3,"Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum)",0,5,"Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Azadirachta indica instead of requested plant; Found information about Alpinia galanga (L.) Willd instead of requested plant; Found information about Nerium oleander instead of requested plant; No direct matches found for 'holy basil, tulsi, ocimum sanctum, what are'. Showing semantically similar plants."
Benefits of neem leaves in Ayurveda?,research,research,ResearchAgent,0.07005889998981729,3,Azadirachta indica,0,1,
Traditional uses of curry leaves?,research,research,ResearchAgent,0.11427530000219122,3,"Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum)",0,5,"Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Ficus religiosa instead of requested plant; Found information about Mangifera indica instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; No direct matches found for 'traditional uses'. Showing semantically similar plants."
What is hibiscus good for medicinally?,research,research,ResearchAgent,0.0948723999899812,3,Hibiscus rosa-sinensis,0,5,"Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Mentha spp. instead of requested plant; Found information about Cinnamomum macrocarpum instead of requested plant; No direct matches found for 'what is'. Showing semantically similar plants."
Health benefits of jamun fruit?,research,research,ResearchAgent,0.11796989999129437,3,Syzygium cumini,0,1,Found information about Syzygium cumini instead of requested plant; No direct matches found for 'health benefits'. Showing semantically similar plants.
How is betel leaf used in traditional medicine?,research,research,ResearchAgent,0.12912920000962913,3,Ficus religiosa,0,5,"Found information about Ficus religiosa instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Mangifera indica instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Amaranthus viridis instead of requested plant; No direct matches found for 'how is'. Showing semantically similar plants."
Uses of sandalwood in herbal therapy.,research,research,ResearchAgent,0.14908559998730198,3,"Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum)",0,5,"Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Calophyllum apetalum instead of requested plant; Found information about Santalum album instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Ficus religiosa instead of requested plant; No direct matches found for 'uses of'. Showing semantically similar plants."
Medicinal applications of climbing spinach?,research,research,ResearchAgent,0.13506530001177453,3,Azadirachta indica,0,5,Found information about Azadirachta indica instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Mangifera indica instead of requested plant; Found information about Carissa carandas instead of requested plant; Found information about Nerium oleander instead of requested plant; No direct matches found for 'medicinal applications'. Showing semantically similar plants.
Why is moringa called a superfood?,research,research,ResearchAgent,0.11232650000602007,3,Moringa oleifera,0,1,
Is Indian bael used for stomach issues?,research,research,ResearchAgent,0.08819920002133586,3,Mentha spp.,0,5,Found information about Mentha spp. instead of requested plant; Found information about Aegle marmelos instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Spinacia oleracea instead of requested plant; Found information about Carissa carandas instead of requested plant; No direct matches found for 'indian bael'. Showing semantically similar plants.
What Ayurvedic uses does ashwagandha have?,research,research,ResearchAgent,0.13694850000320002,3,Amaranthus viridis,0,5,"Found information about Amaranthus viridis instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Uraria picta instead of requested plant; Found information about Bambusoideae (subfamily, e.g. Bambusa vulgaris) instead of requested plant; No direct matches found for 'ayurvedic uses, ashwagandha, withania somnifera'. Showing semantically similar plants."
What are the healing benefits of jasmine flowers?,research,research,ResearchAgent,0.11306069997954182,3,"Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum)",0,1,
What remedies use amaranth leaves?,research,research,ResearchAgent,0.09111979999579489,3,Amaranthus viridis,0,5,"Found information about Amaranthus viridis instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Brassica juncea instead of requested plant; Found information about Mangifera indica instead of requested plant; No direct matches found for 'what remedies'. Showing semantically similar plants."
How is pennywort used medicinally?,research,research,ResearchAgent,0.12920900000608526,3,Hibiscus rosa-sinensis,0,5,"Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Jasminum spp. (e.g. Jasminum sambac, Jasminum grandiflorum) instead of requested plant; Found information about Nerium oleander instead of requested plant; Found information about Mentha spp. instead of requested plant; Found information about Brassica juncea instead of requested plant; No direct matches found for 'how is'. Showing semantically similar plants."
Are guava leaves medically useful?,research,research,ResearchAgent,0.14601250001578592,3,Ficus religiosa,0,5,Found information about Ficus religiosa instead of requested plant; Found information about Amaranthus viridis instead of requested plant; Found information about Mangifera indica instead of requested plant; Found information about Hibiscus rosa-sinensis instead of requested plant; Found information about Ficus auriculata instead of requested plant; No direct matches found for 'are guava'. Showing semantically similar plants.
Where does holy basil naturally grow?,gis,gis,GISAgent,0.11443180000060238,3,Ocimum tenuiflorum (O. sanctum),0,1,
What is the native region of Indian gooseberry tree?,gis,gis,GISAgent,0.13704229998984374,3,Moringa oleifera,0,5,"Found information about Moringa oleifera instead of requested plant; Found information about Citrus limon instead of requested plant; Found information about Dipterocarpus indicus instead of requested plant; Found information about Carissa carandas instead of requested plant; Found information about Aegle marmelos instead of requested plant; No direct matches found for 'indian gooseberry, what is'. Showing semantically similar plants."
